Fecha,Hora,Latitud,Longitud,PM2.5,PM10,CO2,Velocidad_Viento,Direccion_Viento,Temperatura,Estabilidad,Altura_Fuente
2025-02-01,00:00:00,-74.1476034470205,4.608920020141195,35.52,83.53,395.15,1.28,72.52,17.75,E,33.4
2025-02-01,01:00:00,-74.15343901518021,4.598691715623162,19.3,40.77,368.79,3.08,234.33,17.19,D,40.04
2025-02-01,02:00:00,-74.16128294631895,4.610549111094538,52.21,111.72,423.31,3.37,231.45,22.39,D,32.27
2025-02-01,03:00:00,-74.15439052476928,4.5987002591719,51.61,146.18,411.35,0.6,294.03,17.82,D,20.97
2025-02-01,04:00:00,-74.14922939685799,4.602962970278791,42.74,100.64,411.46,1.35,283.43,19.39,E,22.59
2025-02-01,05:00:00,-74.14641512438874,4.613382281826079,30.81,80.2,392.33,0.81,252.63,19.72,C,21.59
2025-02-01,06:00:00,-74.14540259715794,4.6140302461418985,26.54,78.75,381.51,4.2,225.45,25.62,C,45.82
2025-02-01,07:00:00,-74.1497552631946,4.615738856579984,28.24,77.8,388.32,10.0,196.98,25.26,A,29.18
2025-02-01,08:00:00,-74.16024805585852,4.609244433160527,37.48,96.59,388.46,2.13,133.78,21.64,C,56.98
2025-02-01,09:00:00,-74.15680320231448,4.615894654433803,79.56,208.56,438.39,4.88,131.2,26.38,D,71.02
2025-02-01,10:00:00,-74.15961895190566,4.5998540098423835,53.62,87.98,416.07,2.4,358.31,25.69,D,34.23
2025-02-01,11:00:00,-74.14104524989212,4.615406146836729,26.99,50.81,386.47,2.87,282.27,23.59,C,23.66
2025-02-01,12:00:00,-74.15202319731559,4.616204991999882,34.02,95.88,393.19,0.72,354.95,25.45,B,35.71
2025-02-01,13:00:00,-74.14461050592875,4.6010725154382595,143.93,253.85,501.5,5.81,213.65,22.21,C,52.45
2025-02-01,14:00:00,-74.15025111745742,4.604659014033487,49.07,113.81,399.45,1.93,84.92,21.71,C,44.8
2025-02-01,15:00:00,-74.14424818893661,4.610848727719778,48.07,81.78,414.06,3.59,203.91,22.14,C,41.64
2025-02-01,16:00:00,-74.14599990112275,4.5982387389868675,36.72,90.42,391.5,2.34,27.58,26.26,D,44.96
2025-02-01,17:00:00,-74.1487762664781,4.5966376770056945,66.06,124.93,423.14,5.68,40.93,24.58,C,48.42
2025-02-01,18:00:00,-74.15523831311778,4.616265164424546,12.99,28.61,363.32,0.42,75.12,15.93,D,49.1
2025-02-01,19:00:00,-74.14723251296886,4.615588253207838,11.0,30.4,366.15,0.62,127.68,19.11,D,31.07
2025-02-01,20:00:00,-74.15166434757141,4.59772191375635,17.47,38.54,368.32,2.89,211.63,15.93,D,54.42
2025-02-01,21:00:00,-74.14123061857838,4.612191674370703,47.86,109.67,419.09,0.87,41.32,19.46,D,10.0
2025-02-01,22:00:00,-74.1415051334476,4.6169790642350295,83.8,151.4,440.74,2.44,123.86,14.3,E,13.17
2025-02-01,23:00:00,-74.16025456131787,4.611204644175718,24.08,49.71,381.26,2.77,40.86,19.09,C,56.15
2025-02-01,00:00:00,-74.15518007580813,4.6119209860267505,13.8,36.53,367.84,3.72,233.02,17.94,B,29.57
2025-02-01,01:00:00,-74.15166605910909,4.6165873076772055,63.5,122.02,433.11,0.84,145.1,14.72,D,34.31
2025-02-01,02:00:00,-74.1587392097057,4.614685083130145,32.86,64.64,391.57,2.84,61.05,16.57,D,13.56
2025-02-01,03:00:00,-74.14976224999829,4.60606334004038,14.69,34.57,370.29,0.46,231.61,17.42,D,69.51
2025-02-01,04:00:00,-74.14752855530516,4.598663933096122,33.53,85.74,387.53,1.57,182.38,19.81,D,25.54
2025-02-01,05:00:00,-74.16056556037647,4.615238482030031,87.95,250.73,451.25,0.07,305.05,18.91,D,18.9
2025-02-01,06:00:00,-74.14953744154018,4.610689430543812,35.93,96.47,391.93,0.81,326.9,23.55,B,22.51
2025-02-01,07:00:00,-74.159825238748,4.608106516837169,26.29,71.32,382.56,0.99,199.29,25.32,B,25.57
2025-02-01,08:00:00,-74.15640962210705,4.603874448464037,14.77,32.79,366.74,6.05,135.17,25.54,B,59.94
2025-02-02,09:00:00,-74.15550519868428,4.606844395448102,20.16,54.0,378.77,4.11,146.54,22.08,B,62.71
2025-02-02,10:00:00,-74.1595241331346,4.605044123149906,57.5,155.82,427.51,7.04,134.84,24.81,C,57.14
2025-02-02,11:00:00,-74.15711807648314,4.610500443997478,16.0,29.17,368.75,2.2,75.28,29.32,C,22.77
2025-02-02,12:00:00,-74.14560338464003,4.611844329010501,42.79,68.23,408.94,1.47,39.77,24.58,D,77.09
2025-02-02,13:00:00,-74.14663457391192,4.6056462263699345,17.33,48.4,370.97,2.37,131.8,20.66,B,42.44
2025-02-02,14:00:00,-74.14267092761077,4.617131081219254,22.36,62.08,372.99,8.9,96.33,24.36,B,36.56
2025-02-02,15:00:00,-74.1586092666559,4.6020351079551505,24.07,48.64,382.9,5.7,152.78,22.24,A,32.0
2025-02-02,16:00:00,-74.14374927865137,4.603873297819689,36.26,64.35,396.44,1.6,107.46,26.43,C,66.53
2025-02-02,17:00:00,-74.14983848338858,4.613124747898723,28.34,52.99,377.34,4.91,92.44,21.42,C,53.78
2025-02-02,18:00:00,-74.15484896056289,4.606136261314855,13.82,40.84,370.65,0.48,245.85,14.89,C,39.19
2025-02-02,19:00:00,-74.15110641044497,4.600691083637885,21.04,41.76,378.53,3.2,349.96,20.26,C,52.51
2025-02-02,20:00:00,-74.14216813528022,4.609163627145515,19.56,56.29,374.92,0.12,118.9,18.68,D,37.81
2025-02-02,21:00:00,-74.14771347278854,4.595246304873888,75.81,188.29,454.39,2.28,39.64,18.21,E,31.66
2025-02-02,22:00:00,-74.15642032563777,4.612409897446648,29.77,87.07,382.78,2.87,127.08,17.0,B,26.03
2025-02-02,23:00:00,-74.15779289743406,4.604828595576106,27.88,70.1,381.14,1.56,115.38,19.7,D,10.0
2025-02-02,00:00:00,-74.15676590759833,4.609816904466057,58.68,134.3,408.44,1.47,150.95,16.68,E,24.42
